ID,TIME,DV,MDV,AMT,CMT,STUDY,IDD,FOOD,DOSE,PO
6,0,.,1,10,1,1,M06,1,10,1
6,0.25,629,0,.,2,1,M06,1,10,1
6,0.5,991,0,.,2,1,M06,1,10,1
6,1,617,0,.,2,1,M06,1,10,1
6,2,117,0,.,2,1,M06,1,10,1
6,4,104,0,.,2,1,M06,1,10,1
6,6,81.7,0,.,2,1,M06,1,10,1
6,8,66.7,0,.,2,1,M06,1,10,1
6,12,32.3,0,.,2,1,M06,1,10,1
6,24,1.85,0,.,2,1,M06,1,10,1
7,0,.,1,30,1,2,ID1,1,30,1
7,0.25,4105,0,.,2,2,ID1,1,30,1
7,0.5,4230.3,0,.,2,2,ID1,1,30,1
7,1,2123.5,0,.,2,2,ID1,1,30,1
7,2,574.8,0,.,2,2,ID1,1,30,1
7,4,929.2,0,.,2,2,ID1,1,30,1
7,8,393,0,.,2,2,ID1,1,30,1
7,24,0,0,.,2,2,ID1,1,30,1
8,0,.,1,30,1,2,ID2,1,30,1
8,0.25,7149,0,.,2,2,ID2,1,30,1
8,0.5,4267.1,0,.,2,2,ID2,1,30,1
8,1,2496.2,0,.,2,2,ID2,1,30,1
8,2,559.8,0,.,2,2,ID2,1,30,1
8,4,511.1,0,.,2,2,ID2,1,30,1
8,8,208.9,0,.,2,2,ID2,1,30,1
8,24,0,0,.,2,2,ID2,1,30,1
9,0,.,1,30,1,2,ID3,1,30,1
9,0.25,1939,0,.,2,2,ID3,1,30,1
9,0.5,3413.1,0,.,2,2,ID3,1,30,1
9,1,3475.9,0,.,2,2,ID3,1,30,1
9,2,558.7,0,.,2,2,ID3,1,30,1
9,4,580.1,0,.,2,2,ID3,1,30,1
9,8,300.1,0,.,2,2,ID3,1,30,1
9,24,0,0,.,2,2,ID3,1,30,1
10,0,.,1,100,1,2,ID1,1,100,1
10,0.25,8195.5,0,.,2,2,ID1,1,100,1
10,0.5,9014,0,.,2,2,ID1,1,100,1
10,1,1695.2,0,.,2,2,ID1,1,100,1
10,2,1451.8,0,.,2,2,ID1,1,100,1
10,4,12217.6,0,.,2,2,ID1,1,100,1
10,8,3250.8,0,.,2,2,ID1,1,100,1
10,24,112.7,0,.,2,2,ID1,1,100,1
11,0,.,1,100,1,2,ID2,1,100,1
11,0.25,14153.2,0,.,2,2,ID2,1,100,1
11,0.5,5501,0,.,2,2,ID2,1,100,1
11,1,2553.1,0,.,2,2,ID2,1,100,1
11,2,807.9,0,.,2,2,ID2,1,100,1
11,4,951.9,0,.,2,2,ID2,1,100,1
11,8,1220.3,0,.,2,2,ID2,1,100,1
11,24,86.9,0,.,2,2,ID2,1,100,1
12,0,.,1,100,1,2,ID3,1,100,1
12,0.25,6293.2,0,.,2,2,ID3,1,100,1
12,0.5,1975.2,0,.,2,2,ID3,1,100,1
12,1,3360.2,0,.,2,2,ID3,1,100,1
12,2,3406.3,0,.,2,2,ID3,1,100,1
12,4,1616.8,0,.,2,2,ID3,1,100,1
12,8,1191.8,0,.,2,2,ID3,1,100,1
12,24,67.6,0,.,2,2,ID3,1,100,1
